date,ï»¿level,group,spc_bin,prev_cnt,prev_avg_eok,curr_cnt,curr_avg_eok,avg_change_pct,new_cnt,new_avg_eok,new_premium_pct,del_cnt,del_avg_eok,del_premium_pct
2026-01-21,,ALL,132-164,145,52.54,145,51.71,-1.6%,84,50.6,-2.2%,84,52.01,+0.6%
2026-01-21,,ALL,33-65,191,27.62,203,26.75,-3.2%,124,25.31,-5.4%,112,26.66,-0.3%
2026-01-21,,ALL,66-98,876,36.95,869,37.82,+2.4%,520,35.75,-5.5%,527,34.33,-9.2%
2026-01-21,,ALL,99-131,307,55.95,307,56.2,+0.4%,169,57.89,+3.0%,169,57.44,+2.2%
2026-01-21,,ALL,<33,3,10.17,6,11.75,+15.5%,5,12.0,+2.2%,2,10.0,-14.9%
2026-01-21,,ALL,>=165,29,50.92,26,40.21,-21.0%,15,42.76,+6.3%,18,59.58,+48.2%
2026-01-21,,ALL,ALL_BINS,1551,41.23,1556,41.23,+0.0%,917,39.77,-3.6%,912,39.75,-3.6%
2026-01-22,,ALL,132-164,145,53.0,141,51.55,-2.7%,87,52.17,+1.2%,91,54.47,+5.7%
2026-01-22,,ALL,33-65,195,27.21,208,27.26,+0.2%,122,26.16,-4.0%,109,25.95,-4.8%
2026-01-22,,ALL,66-98,874,36.89,872,38.1,+3.3%,527,36.47,-4.3%,529,34.48,-9.5%
2026-01-22,,ALL,99-131,311,55.85,306,56.32,+0.8%,164,58.91,+4.6%,169,57.95,+2.9%
2026-01-22,,ALL,<33,4,11.38,5,11.1,-2.5%,4,11.38,+2.5%,3,11.83,+6.6%
2026-01-22,,ALL,>=165,26,52.41,27,44.65,-14.8%,18,46.28,+3.7%,17,58.24,+30.4%
2026-01-22,,ALL,ALL_BINS,1555,41.16,1559,41.47,+0.7%,922,40.66,-2.0%,918,40.14,-3.2%
2026-01-23,,ALL,132-164,143,52.62,140,52.43,-0.4%,87,51.67,-1.5%,90,52.0,-0.8%
2026-01-23,,ALL,33-65,197,26.93,210,27.59,+2.4%,125,27.2,-1.4%,112,26.02,-5.7%
2026-01-23,,ALL,66-98,872,37.18,865,37.96,+2.1%,521,36.14,-4.8%,528,34.87,-8.1%
2026-01-23,,ALL,99-131,308,55.88,307,55.53,-0.6%,170,56.5,+1.7%,171,57.13,+2.9%
2026-01-23,,ALL,<33,5,12.1,6,11.75,-2.9%,5,12.1,+3.0%,4,12.62,+7.5%
2026-01-23,,ALL,>=165,27,51.99,27,45.65,-12.2%,17,45.68,+0.1%,17,55.74,+22.1%
2026-01-23,,ALL,ALL_BINS,1552,41.19,1555,41.36,+0.4%,925,40.18,-2.9%,922,39.89,-3.6%
2026-01-24,,ALL,132-164,142,52.03,143,52.02,-0.0%,87,51.18,-1.6%,86,51.19,-1.6%
2026-01-24,,ALL,33-65,195,27.0,213,27.41,+1.5%,127,26.6,-2.9%,109,25.79,-5.9%
2026-01-24,,ALL,66-98,877,37.24,866,37.9,+1.8%,530,36.34,-4.1%,541,35.28,-6.9%
2026-01-24,,ALL,99-131,308,55.7,309,55.77,+0.1%,171,57.98,+4.0%,170,57.86,+3.7%
2026-01-24,,ALL,<33,5,12.1,7,11.49,-5.1%,6,11.73,+2.2%,4,12.62,+9.9%
2026-01-24,,ALL,>=165,28,51.91,27,45.65,-12.1%,18,45.23,-0.9%,19,54.48,+19.3%
2026-01-24,,ALL,ALL_BINS,1555,41.14,1565,41.3,+0.4%,939,40.35,-2.3%,929,40.07,-3.0%
2026-01-25,ALL,ALL,132-164,143,51.30,144,51.92,+1.2%,88,51.91,-0.0%,87,50.90,-2.0%
2026-01-25,ALL,ALL,33-65,201,26.73,214,27.23,+1.9%,127,26.26,-3.6%,114,25.29,-7.1%
2026-01-25,ALL,ALL,66-98,871,37.32,884,37.95,+1.7%,548,36.37,-4.2%,535,35.29,-7.0%
2026-01-25,ALL,ALL,99-131,301,55.20,312,55.39,+0.3%,186,57.01,+2.9%,175,56.80,+2.5%
2026-01-25,ALL,ALL,ALL_BINS,1545,40.70,1588,41.21,+1.3%,972,40.41,-1.9%,929,39.52,-4.1%
2026-01-26,ALL,ALL,132-164,140,51.56,143,52.09,+1.0%,88,51.91,-0.3%,85,51.04,-2.0%
2026-01-26,ALL,ALL,33-65,200,26.71,213,27.16,+1.7%,127,26.26,-3.3%,114,25.40,-6.5%
2026-01-26,ALL,ALL,66-98,864,37.26,869,37.86,+1.6%,546,36.38,-3.9%,541,35.39,-6.5%
2026-01-26,ALL,ALL,99-131,297,55.06,303,55.33,+0.5%,185,56.98,+3.0%,179,56.59,+2.3%
2026-01-26,ALL,ALL,ALL_BINS,1530,40.62,1562,41.11,+1.2%,969,40.40,-1.7%,937,39.59,-3.7%
2026-01-27,ALL,ALL,132-164,141,52.18,144,51.44,-1.4%,86,49.15,-4.4%,83,50.34,-2.1%
2026-01-27,ALL,ALL,33-65,193,26.34,211,27.13,+3.0%,129,26.66,-1.8%,111,25.25,-6.9%
2026-01-27,ALL,ALL,66-98,872,37.42,880,37.54,+0.3%,541,35.54,-5.3%,533,35.30,-6.0%
2026-01-27,ALL,ALL,99-131,301,55.60,305,54.88,-1.3%,172,54.44,-0.8%,168,55.72,+1.5%
2026-01-27,ALL,ALL,ALL_BINS,1538,40.89,1574,40.78,-0.3%,951,39.00,-4.4%,915,39.11,-4.1%
2026-01-28,ALL,ALL,132-164,145,51.71,148,51.73,+0.0%,89,50.64,-2.1%,86,50.58,-2.2%
2026-01-28,ALL,ALL,33-65,203,26.75,214,27.16,+1.5%,129,25.48,-6.2%,118,24.66,-9.2%
2026-01-28,ALL,ALL,66-98,869,37.82,903,37.57,-0.7%,555,35.76,-4.8%,521,36.04,-4.1%
2026-01-28,ALL,ALL,99-131,307,56.20,307,54.81,-2.5%,171,53.59,-2.2%,171,56.08,+2.3%
2026-01-28,ALL,ALL,ALL_BINS,1556,41.23,1608,40.75,-1.2%,968,38.87,-4.6%,916,39.58,-2.9%
2026-01-29,ALL,ALL,132-164,141,51.55,147,51.39,-0.3%,92,51.90,+1.0%,86,52.19,+1.6%
2026-01-29,ALL,ALL,33-65,208,27.26,203,27.74,+1.8%,121,25.19,-9.2%,126,24.54,-11.6%
2026-01-29,ALL,ALL,66-98,872,38.10,901,37.21,-2.3%,566,35.65,-4.2%,537,36.97,-0.6%
2026-01-29,ALL,ALL,99-131,306,56.32,311,54.73,-2.8%,184,53.02,-3.1%,179,55.69,+1.8%
2026-01-29,ALL,ALL,ALL_BINS,1559,41.47,1598,40.71,-1.8%,984,38.97,-4.3%,945,40.16,-1.4%
2026-01-30,ALL,ALL,132-164,140,52.43,140,52.50,+0.1%,86,52.22,-0.5%,86,52.11,-0.7%
2026-01-30,ALL,ALL,33-65,210,27.59,209,27.41,-0.6%,128,24.13,-12.0%,129,24.46,-10.7%
2026-01-30,ALL,ALL,66-98,865,37.96,914,37.32,-1.7%,577,35.56,-4.7%,528,36.41,-2.4%
2026-01-30,ALL,ALL,99-131,307,55.53,311,54.19,-2.4%,190,51.79,-4.4%,186,53.96,-0.4%
2026-01-30,ALL,ALL,ALL_BINS,1555,41.36,1609,40.61,-1.8%,1004,38.43,-5.4%,950,39.53,-2.6%
2026-01-31,ALL,ALL,132-164,143,52.02,429,58.60,+12.6%,376,59.55,+1.6%,90,52.12,-11.1%
2026-01-31,ALL,ALL,33-65,214,27.33,838,18.50,-32.3%,757,17.00,-8.1%,133,24.16,+30.6%
2026-01-31,ALL,ALL,66-98,944,35.81,2702,33.95,-5.2%,2339,33.27,-2.0%,581,34.23,+0.8%
2026-01-31,ALL,ALL,99-131,331,53.33,903,37.02,-30.6%,767,33.74,-8.9%,195,51.82,+40.0%
2026-01-31,ALL,ALL,ALL_BINS,1666,39.65,5050,35.40,-10.7%,4406,34.37,-2.9%,1022,37.90,+7.1%
2026-02-01,ALL,ALL,132-164,144,51.92,433,58.42,+12.5%,377,59.33,+1.6%,88,51.70,-11.5%
2026-02-01,ALL,ALL,33-65,215,27.15,857,18.61,-31.4%,781,17.24,-7.4%,139,24.09,+29.4%
2026-02-01,ALL,ALL,66-98,959,35.97,2753,34.06,-5.3%,2380,33.40,-1.9%,586,34.50,+1.3%
2026-02-01,ALL,ALL,99-131,334,53.00,901,37.11,-30.0%,765,34.23,-7.8%,198,52.78,+42.2%
2026-02-01,ALL,ALL,ALL_BINS,1686,39.63,5125,35.44,-10.6%,4474,34.47,-2.7%,1035,38.10,+7.5%
2026-02-02,ALL,ALL,132-164,143,52.09,423,58.23,+11.8%,371,59.27,+1.8%,91,52.83,-9.3%
2026-02-02,ALL,ALL,33-65,214,27.07,843,18.50,-31.7%,773,17.28,-6.6%,144,24.74,+33.8%
2026-02-02,ALL,ALL,66-98,940,35.97,2714,33.95,-5.6%,2363,33.34,-1.8%,589,34.71,+2.3%
2026-02-02,ALL,ALL,99-131,324,52.99,887,37.05,-30.1%,758,34.21,-7.7%,195,52.52,+41.8%
2026-02-02,ALL,ALL,ALL_BINS,1655,39.59,5046,35.33,-10.8%,4434,34.43,-2.5%,1043,38.28,+8.4%
2026-02-03,ALL,ALL,132-164,144,51.44,431,58.55,+13.8%,378,59.44,+1.5%,91,51.02,-12.9%
2026-02-03,ALL,ALL,33-65,212,27.05,860,18.54,-31.4%,789,17.25,-7.0%,141,24.11,+30.0%
2026-02-03,ALL,ALL,66-98,949,35.74,2745,34.07,-4.7%,2384,33.58,-1.4%,588,34.81,+2.2%
2026-02-03,ALL,ALL,99-131,325,52.70,897,37.49,-28.9%,767,34.99,-6.7%,195,52.99,+41.3%
2026-02-03,ALL,ALL,ALL_BINS,1664,39.34,5119,35.53,-9.7%,4494,34.74,-2.2%,1039,38.23,+7.6%
2026-02-04,ALL,ALL,132-164,148,51.73,443,58.25,+12.6%,384,59.32,+1.8%,89,52.05,-10.7%
2026-02-04,ALL,ALL,33-65,215,27.08,894,18.47,-31.8%,819,17.24,-6.7%,140,24.47,+32.5%
2026-02-04,ALL,ALL,66-98,974,35.76,2777,34.12,-4.6%,2392,33.69,-1.3%,589,35.06,+2.7%
2026-02-04,ALL,ALL,99-131,329,52.46,906,37.44,-28.6%,769,34.86,-6.9%,192,52.86,+41.2%
2026-02-04,ALL,ALL,ALL_BINS,1702,39.29,5207,35.48,-9.7%,4536,34.73,-2.1%,1031,38.49,+8.5%
